InvoiceID,Operation,DomainName,Amount,Date
,REGISTER_DOMAIN,2bithouse.com,12.0,2022-07-12T08:58:07.345Z
,REGISTER_DOMAIN,2bithouse.com,12.0,2022-07-13T15:00:57.371Z
